Team,Player,Event,Mins,Secs,X,Y,X2,Y2
GEVP,2,Pase,39,46,71,37,33,88
GEVP,8,Pase,39,49,32,81,55,48
GEVP,2,Pase,39,51,57,46,19,92
GEVP,11,Pase,39,53,19,93,43,95
GEVP,8,Pase,39,54,43,93,21,95
GEVP,11,Pase,39,56,24,94,9,44
GEVP,2,Gol,39,58,8,46,-,-
SITAS,4,Pase,40,3,10,42,27,19
SITAS,11,Pase,40,4,23,13,50,4
SITAS,7,Pase,40,7,48,5,57,33
SITAS,11,Pase,40,9,57,29,89,64
SITAS,2     ,Gol,40,11,89,54,-,-
GEVP,11,Pase,40,16,90,51,74,69
GEVP,6,Pase,40,17,75,79,79,44
GEVP,11,Pase,40,19,74,44,71,8
GEVP,12,Pase,40,20,71,8,55,29
GEVP,11,Pase,40,21,47,13,32,88
GEVP,8,Pase,40,23,35,86,48,50
GEVP,11,Pase,40,24,48,40,37,9
GEVP,2,Pase,40,26,44,10,8,48
GEVP,8,Pase,40,28,8,44,11,65
GEVP,11,Gol,40,30,7,67,-,-
SITAS,4,Pase,40,33,13,57,16,93
SITAS,2     ,Pase,40,35,17,95,29,58
SITAS,4,Pase,40,36,27,60,58,64
SITAS,10,Pase,40,37,59,67,60,10
GEVP,12,Foul,40,42,79,50,-,-
SITAS,10,Pase,40,53,79,51,94,47
SITAS,7,Errado,40,55,94,47,-,-
GEVP,8,reb_def,40,57,72,49,-,-
GEVP,8,Pase,40,57,69,52,75,20
GEVP,12,Pase,40,59,76,12,57,31
GEVP,8,Pase,41,2,54,26,21,37
GEVP,2,Gol,41,4,20,45,-,-
SITAS,4,Pase,41,7,14,63,30,14
SITAS,2,Pase,41,10,29,9,64,46
SITAS,11,Pase,41,11,67,32,58,86
SITAS,10,Gol,41,13,65,83,-,-
GEVP,8,Pase,41,15,87,48,66,15
GEVP,12,Pase,41,17,69,18,74,63
GEVP,8,Pase,41,20,75,61,70,14
GEVP,12,Pase,41,22,70,13,52,7
GEVP,11,Pase,41,25,54,9,69,84
GEVP,6,Pase,41,27,73,86,39,91
GEVP,8,Pase,41,28,31,93,63,90
GEVP,6,Pase,41,30,53,93,43,46
GEVP,11,Pase,41,32,50,49,23,10
GEVP,5,Pase,41,34,25,16,3,15
SITAS,10,Foul,41,36,19,35,-,-
GEVP,5,Pase,41,41,2,26,2,53
GEVP,8,Errado,41,44,10,49,-,-
SITAS,2,reb_def,41,47,11,49,-,-
SITAS,2,Pase,41,49,12,48,22,81
SITAS,4,Pase,41,51,23,82,34,53
SITAS,2,Pase,41,54,31,51,51,85
SITAS,11,Pase,41,55,59,78,45,24
SITAS,15,Pase,41,57,46,26,64,86
SITAS,2,Gol,41,58,72,80,-,-
GEVP,12,Pase,42,1,85,50,75,66
GEVP,6,Pase,42,3,76,59,72,90
GEVP,11,Pase,42,6,57,89,28,92
GEVP,8,Pase,42,7,26,97,43,87
GEVP,11,Pase,42,9,38,90,32,9
GEVP,5,Pase,42,11,32,10,9,21
GEVP,8,Perdida,42,15,8,14,-,-
SITAS,4,Pase,42,18,9,16,19,7
SITAS,7,Pase,42,19,19,7,46,18
SITAS,11,Pase,42,21,52,19,79,21
SITAS,15,Perdida,42,23,80,20,-,-
GEVP,2,Recupero,42,23,80,21,-,-
GEVP,2,Pase,42,24,82,13,34,13
GEVP,8,Pase,42,25,31,12,21,47
GEVP,5,Errado,42,28,20,46,-,-
SITAS,11,reb_def,42,29,18,46,-,-
SITAS,11,Pase,42,30,18,43,25,78
SITAS,2,Pase,42,31,24,76,57,94
SITAS,10,Pase,42,33,57,92,74,71
SITAS,15,Pase,42,34,73,72,57,94
SITAS,7,Pase,42,36,61,91,51,51
SITAS,15,Pase,42,37,52,49,62,20
SITAS,11,Pase,42,41,61,22,61,87
SITAS,7,Pase,42,43,59,93,70,16
SITAS,15,Pase,42,44,73,19,54,21
SITAS,10,Pase,42,46,55,20,56,56
SITAS,7,Pase,42,48,56,54,86,36
SITAS,11,Gol,42,50,86,41,-,-
GEVP,12,Pase,42,53,86,40,69,7
GEVP,8,Pase,42,56,70,6,72,51
GEVP,12,Pase,42,57,72,50,81,88
GEVP,6,Pase,42,59,81,89,67,97
GEVP,11,Pase,43,1,69,94,25,96
GEVP,2,Pase,43,4,26,97,7,27
GEVP,8,Pase,43,4,11,22,10,51
GEVP,11,Errado,43,7,10,46,-,-
GEVP,2,reb_of,43,7,17,49,-,-
GEVP,2,Gol,43,9,29,45,-,-
SITAS,2,Pase,43,12,13,52,14,82
SITAS,15,Pase,43,15,14,85,19,62
SITAS,4,sub_out,43,13,1,13,-,-
SITAS,9,sub_in,43,13,1,14,-,-
SITAS,2,Pase,43,16,20,64,25,20
SITAS,9,Pase,43,18,25,15,54,8
SITAS,10,Pase,43,22,55,6,53,48
SITAS,-,Zona,43,21,50,49,-,-
SITAS,15,Foul,43,33,28,49,-,-
GEVP,8,Pase,43,37,30,50,19,63
GEVP,5,Pase,43,38,21,72,37,48
GEVP,8,Gol,43,40,37,48,-,-
SITAS,2,Pase,43,45,11,54,17,91
SITAS,15,Pase,43,47,18,94,44,50
SITAS,11,Pase,43,49,49,54,73,82
SITAS,7,Pase,43,49,74,82,62,59
SITAS,11,Errado,43,52,66,62,-,-
SITAS,7,reb_of,43,52,80,36,-,-
SITAS,7,Pase,43,54,80,22,65,33
SITAS,11,Pase,43,56,66,34,81,40
SITAS,10,Errado,43,57,79,27,-,-
GEVP,5,reb_def,44,1,83,62,-,-
GEVP,5,Pase,44,1,85,64,65,52
GEVP,6,Pase,44,1,66,53,47,94
GEVP,8,Pase,44,4,45,94,49,53
GEVP,5,Pase,44,7,46,48,25,7
GEVP,12,Pase,44,8,24,7,4,12
GEVP,2,Pase,44,12,8,12,14,77
GEVP,12,Pase,44,13,14,72,14,53
GEVP,2,Pase,44,14,12,54,2,36
GEVP,5,Errado,44,17,4,41,-,-
SITAS,10,reb_def,44,18,17,38,-,-
SITAS,10,Pase,44,19,21,36,30,64
SITAS,9,Pase,44,20,30,64,35,35
SITAS,10,Pase,44,22,42,30,54,6
SITAS,7,Pase,44,23,56,9,76,35
SITAS,11,Gol,44,25,84,36,-,-
GEVP,12,Pase,44,29,86,48,80,94
GEVP,6,Pase,44,31,79,94,81,79
GEVP,8,Pase,44,33,86,79,71,18
