Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SITAS,7,Pase,51,3,23,90,7,46
SITAS,11,Errado,51,4,5,43,-,-
GEVP,9,reb_def,51,6,21,45,-,-
GEVP,9,Pase,51,9,21,46,22,84
GEVP,5,Pase,51,10,24,85,52,11
GEVP,8,Errado,51,10,57,17,-,-
GEVP,2,reb_of,51,13,90,55,-,-
GEVP,2,Errado,51,15,96,64,-,-
SITAS,10,reb_def,51,16,79,41,-,-
SITAS,10,Pase,51,18,79,41,58,62
GEVP,11,Foul,51,20,58,60,-,-
SITAS,4,Pase,51,22,58,60,51,32
SITAS,10,Errado,51,23,48,31,-,-
SITAS,7,reb_of,51,25,10,52,-,-
SITAS,7,Gol,51,25,7,54,-,-
GEVP,9,Pase,51,30,14,64,23,44
GEVP,12,Pase,51,32,24,48,23,75
GEVP,9,Pase,51,35,23,77,53,7
GEVP,8,Pase,51,37,53,7,69,6
GEVP,11,Pase,51,39,70,5,63,47
GEVP,2,Pase,51,41,63,49,80,87
GEVP,12,Pase,51,43,81,88,90,28
GEVP,5,Pase,51,44,90,25,68,8
GEVP,11,Pase,51,46,67,10,87,36
GEVP,12,Errado,51,48,89,53,-,-
SITAS,9,reb_def,51,49,80,48,-,-
SITAS,9,Pase,51,51,79,48,90,70
SITAS,10,Pase,51,53,90,71,47,95
SITAS,7,Pase,51,55,47,95,19,65
GEVP,9,Foul,51,55,20,65,-,-
SITAS,7,Pase,52,2,13,64,29,32
SITAS,15,Gol,52,3,30,26,-,-
GEVP,8,Pase,52,6,13,49,23,85
GEVP,12,Pase,52,9,24,87,35,18
GEVP,9,Perdida,52,14,35,19,-,-
SITAS,7,Pase,52,18,41,6,23,55
SITAS,10,Gol,52,21,29,62,-,-
GEVP,12,Pase,52,26,12,49,23,87
GEVP,8,Pase,52,28,24,87,70,88
GEVP,5,Pase,52,29,71,87,52,81
GEVP,8,Pase,52,31,51,81,79,74
GEVP,2,Errado,52,33,79,76,-,-
GEVP,11,Pase,52,40,83,2,55,23
GEVP,5,Pase,52,42,55,23,71,55
GEVP,2,Pase,52,44,69,67,86,68
GEVP,11,Gol,52,45,85,71,-,-
SITAS,4,Pase,52,49,86,40,56,11
SITAS,10,Pase,52,52,50,9,44,57
SITAS,15,Pase,52,54,44,56,21,84
SITAS,7,Pase,52,55,22,84,15,56
SITAS,11,Gol,52,56,15,57,-,-
GEVP,5,Pase,53,1,14,50,35,50
GEVP,9,Pase,53,3,35,51,33,89
GEVP,12,Pase,53,7,33,90,56,10
GEVP,5,Pase,53,9,55,9,77,49
GEVP,2,Gol,53,12,78,55,-,-
