Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
GEVP,8,Perdida,42,15,8,14,-,-,388
SITAS,4,Pase,42,18,9,16,19,7,389
SITAS,7,Pase,42,19,19,7,46,18,390
SITAS,11,Pase,42,21,52,19,79,21,391
SITAS,15,Perdida,42,23,80,20,-,-,392
GEVP,2,Recupero,42,23,80,21,-,-,393
GEVP,2,Pase,42,24,82,13,34,13,394
GEVP,8,Pase,42,25,31,12,21,47,395
GEVP,5,Errado,42,28,20,46,-,-,396
SITAS,11,reb_def,42,29,18,46,-,-,397
SITAS,11,Pase,42,30,18,43,25,78,398
SITAS,2,Pase,42,31,24,76,57,94,399
SITAS,10,Pase,42,33,57,92,74,71,400
SITAS,15,Pase,42,34,73,72,57,94,401
SITAS,7,Pase,42,36,61,91,51,51,402
SITAS,15,Pase,42,37,52,49,62,20,403
SITAS,11,Pase,42,41,61,22,61,87,404
SITAS,7,Pase,42,43,59,93,70,16,405
SITAS,15,Pase,42,44,73,19,54,21,406
SITAS,10,Pase,42,46,55,20,56,56,407
SITAS,7,Pase,42,48,56,54,86,36,408
SITAS,11,Gol,42,50,86,41,-,-,409
GEVP,12,Pase,42,53,86,40,69,7,410
GEVP,8,Pase,42,56,70,6,72,51,411
GEVP,12,Pase,42,57,72,50,81,88,412
GEVP,6,Pase,42,59,81,89,67,97,413
GEVP,11,Pase,43,1,69,94,25,96,414
GEVP,2,Pase,43,4,26,97,7,27,415
GEVP,8,Pase,43,4,11,22,10,51,416
GEVP,11,Errado,43,7,10,46,-,-,417
GEVP,2,reb_of,43,7,17,49,-,-,418
GEVP,2,Gol,43,9,29,45,-,-,419
SITAS,2,Pase,43,12,13,52,14,82,420
SITAS,15,Pase,43,15,14,85,19,62,421
SITAS,4,sub_out,43,13,1,13,-,-,422
SITAS,9,sub_in,43,13,1,14,-,-,423
SITAS,2,Pase,43,16,20,64,25,20,424
SITAS,9,Pase,43,18,25,15,54,8,425
SITAS,10,Pase,43,22,55,6,53,48,426
SITAS,-,Zona,43,21,50,49,-,-,427
SITAS,15,Foul,43,33,28,49,-,-,428
GEVP,8,Pase,43,37,30,50,19,63,429
GEVP,5,Pase,43,38,21,72,37,48,430
GEVP,8,Gol,43,40,37,48,-,-,431
SITAS,2,Pase,43,45,11,54,17,91,432
SITAS,15,Pase,43,47,18,94,44,50,433
SITAS,11,Pase,43,49,49,54,73,82,434
SITAS,7,Pase,43,49,74,82,62,59,435
SITAS,11,Errado,43,52,66,62,-,-,436
SITAS,7,reb_of,43,52,80,36,-,-,437
SITAS,7,Pase,43,54,80,22,65,33,438
SITAS,11,Pase,43,56,66,34,81,40,439
SITAS,10,Errado,43,57,79,27,-,-,440
GEVP,5,reb_def,44,1,83,62,-,-,441
GEVP,5,Pase,44,1,85,64,65,52,442
GEVP,6,Pase,44,1,66,53,47,94,443
GEVP,8,Pase,44,4,45,94,49,53,444
GEVP,5,Pase,44,7,46,48,25,7,445
GEVP,12,Pase,44,8,24,7,4,12,446
GEVP,2,Pase,44,12,8,12,14,77,447
GEVP,12,Pase,44,13,14,72,14,53,448
GEVP,2,Pase,44,14,12,54,2,36,449
GEVP,5,Errado,44,17,4,41,-,-,450
SITAS,10,reb_def,44,18,17,38,-,-,451
SITAS,10,Pase,44,19,21,36,30,64,452
SITAS,9,Pase,44,20,30,64,35,35,453
SITAS,10,Pase,44,22,42,30,54,6,454
SITAS,7,Pase,44,23,56,9,76,35,455
SITAS,11,Gol,44,25,84,36,-,-,456
GEVP,12,Pase,44,29,86,48,80,94,457
GEVP,6,Pase,44,31,79,94,81,79,458
GEVP,8,Pase,44,33,86,79,71,18,459
GEVP,12,Pase,44,36,71,21,84,95,460
GEVP,6,Pase,44,39,80,96,68,71,461
GEVP,8,Pase,44,40,70,71,55,8,462
GEVP,12,sub_out,44,40,99,16,-,-,463
GEVP,10,sub_in,44,43,99,14,-,-,464
GEVP,2,Pase,44,41,54,7,69,18,465
GEVP,10,Pase,44,44,70,22,50,22,466
GEVP,8,Pase,44,46,49,22,9,28,467
SITAS,15,Foul,44,50,9,30,-,-,468
GEVP,11,Gol,44,50,9,30,-,-,469
SITAS,7,Pase,44,53,9,59,20,84,470
SITAS,9,Pase,44,55,21,91,24,55,471
SITAS,7,Pase,44,57,26,59,37,11,472
SITAS,2,Pase,44,58,36,10,60,47,473
SITAS,11,Pase,45,0,56,46,87,24,474
